title,hasCited
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Computing Local Binary Patterns on Mesh Manifolds for 3D Texture Retrieval.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Temporal Ensemble of Shape Functions.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Shape Similarity System driven by Digital Elevation Models for Non-rigid Shape Retrieval.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Efficient Filling of Disparity Holes Using Resolution Decoupling.
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems.
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,3D Sketch-Based 3D Shape Retrieval.
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,RGB-D to CAD Retrieval with ObjectNN Dataset.
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,ComP-net - command processor networking for efficient intra-kernel communications on GPUs.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Non-rigid 3D Model Classification Using 3D Hahn Moment Convolutional Neural Networks.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,An Evaluation of Local Feature Encodings for Shape Retrieval.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Matching of Deformable Shapes with Topological Noise.
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,3D shape template generation from RGB-D images capturing a moving and deforming object.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Enhancing adaptability of amoeboid robot by synergetically coupling two decentralized controllers inspired by true slime mold.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Similarity of Deforming Meshes Based on Spatio-temporal Segmentation.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Large-Scale 3D Shape Retrieval from ShapeNet Core55.
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,An Evaluation of Local Feature Encodings for Shape Retrieval.
Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.,EAR - ECC-aided refresh reduction through 2-D zero compression.
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,3D Volume Matching for Mesh Animation of Moving Actors.
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,3D-Xpath - high-density managed DRAM architecture with cost-effective alternative paths for memory transactions.
High productivity thermal compression bonding for 3D-IC.,Shape Retrieval and 3D Gestural Interaction.
High productivity thermal compression bonding for 3D-IC.,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
3D integration - Applications and market trends.,Performing Image-like Convolution on Triangular Meshes.
3D integration - Applications and market trends.,Truncated Signed Distance Function Volume Integration Based on Voxel-Level Optimization for 3D Reconstruction.
3D system integration research at IMEC.,Enhancing Agent Mediated Electronic Markets with Ontology Matching Services and Social Network Support.
3D system integration research at IMEC.,Extended Large Scale Sketch-Based 3D Shape Retrieval.
3D system integration research at IMEC.,Automatic Extraction of Complex 3D Structures Application to the Inner Ear Segmentation from Cone Beam CT Digital Volumes.
3D system integration research at IMEC.,Data motifs - a lens towards fully understanding big data and AI workloads.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,3D Volume Matching for Mesh Animation of Moving Actors.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Protein Shape Retrieval.
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Scalability of Non-Rigid 3D Shape Retrieval.
