title,keyword
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,security
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,modeling
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,data querying
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,indexing
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,Hardware
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,big data
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,security
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,modeling
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,literature
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Hardware
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,biyology
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,big data
Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.,data querying
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,security
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,data modeling
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,modeling
High productivity thermal compression bonding for 3D-IC.,Software
3D integration - Applications and market trends.,Hardware
3D integration - Applications and market trends.,data querying
3D integration - Applications and market trends.,data modeling
3D integration - Applications and market trends.,Software
3D system integration research at IMEC.,big data
3D system integration research at IMEC.,data storage
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,biyology
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,security
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,modeling
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,data querying
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Software
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,literature
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,big data
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",data storage
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Hardware
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",modeling
Copper micro and nano particles mixture for 3D interconnections application.,data storage
Copper micro and nano particles mixture for 3D interconnections application.,security policy
Copper micro and nano particles mixture for 3D interconnections application.,security
Copper micro and nano particles mixture for 3D interconnections application.,Software
Copper micro and nano particles mixture for 3D interconnections application.,data querying
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,security
Computing in 3D.,security policy
Computing in 3D.,modeling
Computing in 3D.,TCP/IP
Computing in 3D.,Software
Retrieval and Classification on Textured 3D Models.,biyology
Retrieval and Classification on Textured 3D Models.,data modeling
Retrieval and Classification on Textured 3D Models.,data storage
Retrieval and Classification on Textured 3D Models.,security policy
Retrieval and Classification on Textured 3D Models.,modeling
3D Volume Matching for Mesh Animation of Moving Actors.,security
3D Volume Matching for Mesh Animation of Moving Actors.,data processing
3D Volume Matching for Mesh Animation of Moving Actors.,modeling
3D Volume Matching for Mesh Animation of Moving Actors.,data querying
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Hardware
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,biyology
