author,reviewedPaper
Borut Zalik,Directed Curvature Histograms for Robotic Grasping.
Matjaz Debevc,Retrieval of Gray Patterns Depicted on 3D Models.
Chantal Lidynia,Performing Image-like Convolution on Triangular Meshes.
Chantal Lidynia,3D Volume Matching for Mesh Animation of Moving Actors.
Chantal Lidynia,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
André Calero Valdez,Scalability of Non-Rigid 3D Shape Retrieval.
André Calero Valdez,Shape Retrieval of Non-Rigid 3D Human Models.
André Calero Valdez,Enhancing Power Quality in Microgrids With a New Online Control Strategy for DSTATCOM Using Reinforcement Learning Algorithm.
André Calero Valdez,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Carsten Röcker,Retrieval of Objects Captured with Kinect One Camera.
Carsten Röcker,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Carsten Röcker,On-the-fly workload partitioning for integrated CPU/GPU architectures.
Carsten Röcker,Automatic 3D Object Fracturing for Evaluation of Partial Retrieval and Object Restoration Tasks - Benchmark and Application to 3D Cultural Heritage Data.
Martina Ziefle,Sketch-based 3D Object Retrieval with Skeleton Line Views - Initial Results and Research Problems.
Martina Ziefle,2D Scene Sketch-Based 3D Scene Retrieval.
Yi-Li Huang,Enhanced Transmit Antenna Selection Scheme for Secure Throughput Maximization Without CSI at the Transmitter.
Fang-Yie Leu,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
Fang-Yie Leu,TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.
Fang-Yie Leu,3D Objects Exploration - Guidelines for Future Research.
Ilsun You,High productivity thermal compression bonding for 3D-IC.
Jing-Hao Yang,Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.
Jing-Hao Yang,Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.
Jing-Hao Yang,Non-rigid 3D Shape Retrieval.
Jing-Hao Yang,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Jing-Hao Yang,Geodesic-based 3D Shape Retrieval Using Sparse Autoencoders.
Kelly Hughes,Enhanced Forensic Speaker Verification Using a Combination of DWT and MFCC Feature Warping in the Presence of Noise and Reverberation Conditions.
Kelly Hughes,GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.
Yanzhen Qu,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Yanzhen Qu,Architectural support for convolutional neural networks on modern CPUs.
Martin Husák,Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis.
Jakub Cegan,Towards concurrency race debugging - an integrated approach for constraint solving and dynamic slicing.
Jakub Cegan,EAR - ECC-aided refresh reduction through 2-D zero compression.
Jakub Cegan,A Descriptor for Voxel Shapes Based on the Skeleton Cut Space.
Yu Ichifuji,3D Objects Exploration - Guidelines for Future Research.
Yu Ichifuji,Retrieval of Non-rigid (textured) Shapes Using Low Quality 3D Models.
Yu Ichifuji,Indoor Location Retrieval using Shape Matching of KinectFusion Scans to Large-Scale Indoor Point Clouds.
Yu Ichifuji,Performing Image-like Convolution on Triangular Meshes.
Yu Ichifuji,3D GrabCut - Interactive Foreground Extraction for Reconstructed 3D Scenes.
Noboru Sonehara,Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).
Yuuki Araga,Microshapes - Efficient Querying of 3D Object Collections based on Local Shape.
Yuuki Araga,GSHOT - a Global Descriptor from SHOT to Reduce Time and Space Requirements.
Yuuki Araga,3D Object Retrieval with Multimodal Views.
Yuuki Araga,Implementation of 3D Object Reconstruction Using Multiple Kinect Cameras.
Kikuchi Katsuya,3D Hand Gesture Recognition Using a Depth and Skeletal Dataset.
Kikuchi Katsuya,Fisher Encoding of Adaptive Fast Persistent Feature Histograms for Partial Retrieval of 3D Pottery Objects.
Masahiro Aoyagi,High-Fidelity Time-of-Flight Edge Sampling Using Superpixels.
Masahiro Aoyagi,Enhancing comparison shopping agents through ordering and gradual information disclosure.
Masahiro Aoyagi,Quantitative Comparison of Hole Filling Methods for 3D Object Search.
