title,author,roleofAuthor
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Borut Zalik,corresponding author
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Matjaz Debevc,normal author
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Chantal Lidynia,normal author
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,André Calero Valdez,normal author
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Carsten Röcker,normal author
Mobile Computing is not Always Advantageous - Lessons Learned from a Real-World Case Study in a Hospital.,Martina Ziefle,normal author
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,Yi-Li Huang,corresponding author
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,Fang-Yie Leu,normal author
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,Ilsun You,normal author
Building an Initialization Cipher Block with Two-Dimensional Operation and Random Parameters.,Jing-Hao Yang,normal author
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Kelly Hughes,corresponding author
Performance Measures of Behavior-Based Signatures - An Anti-malware Solution for Platforms with Limited Computing Resource.,Yanzhen Qu,normal author
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Martin Husák,corresponding author
PhiGARo - Automatic Phishing Detection and Incident Response Framework.,Jakub Cegan,normal author
Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.,Yu Ichifuji,corresponding author
Visualization of Recovery Situation in Disaster Area by Using Web Reservation Data.,Noboru Sonehara,normal author
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,Yuuki Araga,corresponding author
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,Kikuchi Katsuya,normal author
Guard-ring monitoring system for inspecting defects in TSV-based data buses.,Masahiro Aoyagi,normal author
High productivity thermal compression bonding for 3D-IC.,Noboru Asahi,corresponding author
High productivity thermal compression bonding for 3D-IC.,Yoshinori Miyamoto,normal author
High productivity thermal compression bonding for 3D-IC.,Masatsugu Nimura,normal author
High productivity thermal compression bonding for 3D-IC.,Yoshihito Mizutani,normal author
High productivity thermal compression bonding for 3D-IC.,Yoshiyuki Arai,normal author
3D integration - Applications and market trends.,Rozalia Beica,corresponding author
3D system integration research at IMEC.,Eric Beyne,corresponding author
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Bui Thanh Tung,corresponding author
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Naoya Watanabe,normal author
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Masahiro Aoyagi,normal author
Twice-etched silicon approach for via-last through-silicon-via with a Parylene-HT liner.,Katsuya Kikuchi,normal author
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Chuan-An Cheng,corresponding author
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Ryuichi Sugie,normal author
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Tomoyuki Uchida,normal author
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Kou-Hua Chen,normal author
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Chi-Tsung Chiu,normal author
Electrical investigation of Cu pumping in through-silicon vias for BEOL reliability in 3D integration.,Kuan-Neng Chen,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Sumin Choi,corresponding author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Heegon Kim,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Daniel H. Jung,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Jonghoon J. Kim,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Jaemin Lim,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Hyunsuk Lee,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Kyungjun Cho,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Joungho Kim,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Hyungsoo Kim,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Yong-Ju Kim,normal author
"Crosstalk-included eye-diagram estimation for high-speed silicon, organic, and glass interposer channels on 2.5D/3D IC.",Yunsaing Kim,normal author
Copper micro and nano particles mixture for 3D interconnections application.,Yuan Yuan Dai,corresponding author
Copper micro and nano particles mixture for 3D interconnections application.,Mei Zhen Ng,normal author
Copper micro and nano particles mixture for 3D interconnections application.,P. Anantha,normal author
Copper micro and nano particles mixture for 3D interconnections application.,Chee Lip Gan,normal author
Copper micro and nano particles mixture for 3D interconnections application.,Chuan Seng Tan,normal author
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,Mohamed N. ElBahey,corresponding author
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,DiaaEldin S. Khalil,normal author
Proposed static timing analysis framework for extracted 3D integrated circuits (3D-STA).,Hani Fikry Ragai,normal author
Computing in 3D.,Paul D. Franzon,corresponding author
Computing in 3D.,Eric Rotenberg,normal author
Computing in 3D.,James Tuck,normal author
Retrieval and Classification on Textured 3D Models.,Silvia Biasotti,corresponding author
Retrieval and Classification on Textured 3D Models.,Andrea Cerri,normal author
Retrieval and Classification on Textured 3D Models.,Mostafa Abdelrahman,normal author
Retrieval and Classification on Textured 3D Models.,Masaki Aono,normal author
Retrieval and Classification on Textured 3D Models.,Abdessamad Ben Hamza,normal author
Retrieval and Classification on Textured 3D Models.,Moumen T. El-Melegy,normal author
Retrieval and Classification on Textured 3D Models.,Aly A. Farag,normal author
Retrieval and Classification on Textured 3D Models.,Valeria Garro,normal author
Retrieval and Classification on Textured 3D Models.,Andrea Giachetti 0001,normal author
Retrieval and Classification on Textured 3D Models.,Daniela Giorgi,normal author
Retrieval and Classification on Textured 3D Models.,Afzal Godil,normal author
Retrieval and Classification on Textured 3D Models.,C. Li,normal author
Retrieval and Classification on Textured 3D Models.,Y.-J. Liu,normal author
Retrieval and Classification on Textured 3D Models.,H. Y. Martono,normal author
Retrieval and Classification on Textured 3D Models.,Chika Sanada,normal author
Retrieval and Classification on Textured 3D Models.,Atsushi Tatsuma,normal author
Retrieval and Classification on Textured 3D Models.,Santiago Velasco-Forero,normal author
Retrieval and Classification on Textured 3D Models.,C.-X. Xu,normal author
3D Volume Matching for Mesh Animation of Moving Actors.,Ludovic Blache,corresponding author
3D Volume Matching for Mesh Animation of Moving Actors.,Céline Loscos,normal author
3D Volume Matching for Mesh Animation of Moving Actors.,Olivier Nocent,normal author
3D Volume Matching for Mesh Animation of Moving Actors.,Laurent Lucas,normal author
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Davide Boscaini,corresponding author
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Ramunas Girdziusas,normal author
Coulomb Shapes - Using Electrostatic Forces for Deformation-invariant Shape Representation.,Michael M. Bronstein,normal author
Temporal Ensemble of Shape Functions.,Karla Brkic,corresponding author
Temporal Ensemble of Shape Functions.,Aitor Aldoma,normal author
Temporal Ensemble of Shape Functions.,Markus Vincze,normal author
Temporal Ensemble of Shape Functions.,Sinisa Segvic,normal author
Temporal Ensemble of Shape Functions.,Zoran Kalafatic,normal author
GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.,Antonios Danelakis,corresponding author
GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.,Theoharis Theoharis,normal author
GeoTopo - Dynamic 3D Facial Expression Retrieval Using Topological and Geometric Information.,Ioannis Pratikakis,normal author
Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.,Quoc-Viet Dang,corresponding author
Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.,Géraldine Morin,normal author
Symmetry and Fourier Descriptor - A Hybrid Feature For NURBS based B-Rep Models Retrieval.,Sandrine Mouysset,normal author
TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.,Valeria Garro,corresponding author
TreeSha - 3D Shape Retrieval with a Tree Graph Representation based on the Autodiffusion Function Topology.,Andrea Giachetti 0001,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Andrea Giachetti 0001,corresponding author
Automatic Location of Landmarks used in Manual Anthropometry.,E. Mazzi,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Francesco Piscitelli,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Masaki Aono,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,A. Ben Hamza,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Thomas Bonis,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Peter Claes,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Afzal Godil,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Chunyuan Li,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Maks Ovsjanikov,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Viorica Patraucean,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Chang Shu 0001,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,J. Snyders,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Paul Suetens,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Atsushi Tatsuma,normal author
Automatic Location of Landmarks used in Manual Anthropometry.,Dirk Vandermeulen,normal author
